"account","email","owner","marketplace","session","name","cash","cash__initial","STOCK_2146","STOCK_2146__initial","STOCK_2146__shorts","STOCK_2146__buy","STOCK_2146__sell"
"uleef","M01@utah.edu",36024,1201,113584,"T003",22085,16000,0,12,0,"true","true"
"uleef","M02@utah.edu",36025,1201,113584,"T009",15070,10000,11,20,0,"true","true"
"uleef","M03@utah.edu",36026,1201,113584,"T000",19345,16000,6,12,0,"true","true"
"uleef","M04@utah.edu",36027,1201,113584,"T008",9450,10000,21,20,0,"true","true"
"uleef","M05@utah.edu",36028,1201,113584,"T006",14980,16000,14,12,0,"true","true"
"uleef","M06@utah.edu",36029,1201,113584,"T007",6925,10000,26,20,0,"true","true"
"uleef","M07@utah.edu",36030,1201,113584,"T005",14730,10000,11,20,0,"true","true"
"uleef","M08@utah.edu",36031,1201,113584,"T002",1415,16000,39,12,0,"true","true"
"uleef","M09@utah.edu",36032,1201,113584,"T004",10000,10000,20,20,0,"true","true"
"uleef","M10@utah.edu",36033,1201,113584,"T010",16000,16000,12,12,0,"true","true"
"uleef","M11@utah.edu",36034,1201,113584,"T011",10000,10000,20,20,0,"true","true"
"uleef","M12@utah.edu",36035,1201,113584,"T001",16000,16000,12,12,0,"true","true"
