# orders -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,clientDescription
# orders -- end,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# holdings -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,name,cash,cash__initial,STOCK_2146,STOCK_2146__initial,STOCK_2146__shorts,STOCK_2146__buy,STOCK_2146__sell
uleef,M01@utah.edu,36024,1201,113611,T003,16000,17200,12,0,0,FALSE,FALSE
uleef,M02@utah.edu,36025,1201,113611,T009,15885,16185,3,0,0,FALSE,FALSE
uleef,M03@utah.edu,36026,1201,113611,T000,7130,11130,40,0,0,FALSE,FALSE
uleef,M04@utah.edu,36027,1201,113611,T008,10570,12470,19,0,0,FALSE,FALSE
uleef,M05@utah.edu,36028,1201,113611,T006,17770,18470,7,0,0,FALSE,FALSE
uleef,M06@utah.edu,36029,1201,113611,T007,8765,11165,24,0,0,FALSE,FALSE
uleef,M07@utah.edu,36030,1201,113611,T005,8725,11125,24,0,0,FALSE,FALSE
uleef,M08@utah.edu,36031,1201,113611,T002,18805,18805,0,0,0,FALSE,FALSE
uleef,M09@utah.edu,36032,1201,113611,T004,10000,12000,20,0,0,FALSE,FALSE
uleef,M10@utah.edu,36033,1201,113611,T010,16350,17450,11,0,0,FALSE,FALSE
uleef,M11@utah.edu,36034,1201,113611,T011,10000,12000,20,0,0,FALSE,FALSE
uleef,M12@utah.edu,36035,1201,113611,T001,16000,17200,12,0,0,FALSE,FALSE
# holdings -- end,,,,,,,,,,,,,,,,,
