"account","email","owner","marketplace","session","name","cash","cash__initial","STOCK_2147","STOCK_2147__initial","STOCK_2147__shorts","STOCK_2147__buy","STOCK_2147__sell"
"uleef","M01@utah.edu",36024,1202,46244,"T007",13185,16000,16,12,0,"true","true"
"uleef","M02@utah.edu",36025,1202,46244,"T006",6245,10000,28,20,0,"true","true"
"uleef","M03@utah.edu",36026,1202,46244,"T000",17695,16000,9,12,0,"true","true"
"uleef","M04@utah.edu",36027,1202,46244,"T010",12750,10000,15,20,0,"true","true"
"uleef","M05@utah.edu",36028,1202,46244,"T011",20590,16000,2,12,0,"true","true"
"uleef","M06@utah.edu",36029,1202,46244,"T002",8880,10000,23,20,0,"true","true"
"uleef","M07@utah.edu",36030,1202,46244,"T004",10000,10000,20,20,0,"true","true"
"uleef","M08@utah.edu",36031,1202,46244,"T003",14655,16000,15,12,0,"true","true"
"uleef","M09@utah.edu",36032,1202,46244,"T008",10000,10000,20,20,0,"true","true"
"uleef","M10@utah.edu",36033,1202,46244,"T001",16000,16000,12,12,0,"true","true"
"uleef","M11@utah.edu",36034,1202,46244,"T005",10000,10000,20,20,0,"true","true"
"uleef","M12@utah.edu",36035,1202,46244,"T009",16000,16000,12,12,0,"true","true"
