# orders -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,clientDescription
# orders -- end,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# holdings -- begin,,,,,,,,,,,,,,,,,
account,email,owner,marketplace,session,name,cash,cash__initial,STOCK_2147,STOCK_2147__initial,STOCK_2147__shorts,STOCK_2147__buy,STOCK_2147__sell,,,,,
uleef,M01@utah.edu,36024,1202,46060,T007,16000,16000,12,12,0,TRUE,TRUE,,,,,
uleef,M02@utah.edu,36025,1202,46060,T006,10000,10000,20,20,0,TRUE,TRUE,,,,,
uleef,M03@utah.edu,36026,1202,46060,T000,16000,16000,12,12,0,TRUE,TRUE,,,,,
uleef,M04@utah.edu,36027,1202,46060,T010,10000,10000,20,20,0,TRUE,TRUE,,,,,
uleef,M05@utah.edu,36028,1202,46060,T011,16000,16000,12,12,0,TRUE,TRUE,,,,,
uleef,M06@utah.edu,36029,1202,46060,T002,10000,10000,20,20,0,TRUE,TRUE,,,,,
uleef,M07@utah.edu,36030,1202,46060,T004,10000,10000,20,20,0,TRUE,TRUE,,,,,
uleef,M08@utah.edu,36031,1202,46060,T003,16000,16000,12,12,0,TRUE,TRUE,,,,,
uleef,M09@utah.edu,36032,1202,46060,T008,10000,10000,20,20,0,TRUE,TRUE,,,,,
uleef,M10@utah.edu,36033,1202,46060,T001,16000,16000,12,12,0,TRUE,TRUE,,,,,
uleef,M11@utah.edu,36034,1202,46060,T005,10000,10000,20,20,0,TRUE,TRUE,,,,,
uleef,M12@utah.edu,36035,1202,46060,T009,16000,16000,12,12,0,TRUE,TRUE,,,,,
# holdings -- end,,,,,,,,,,,,,,,,,
